Headers,,,,,
Test Date,12/14/2022,12/14/2022,
Test Time,3:39:07 PM,3:39:07 PM,
Test ID,Drop 4,Drop 4,
Test Description,7 ft| 50lb| 2in|7 ft| 50lb| 2in,
Sample Rate (Hz),10000,10000,
Hardware AA Filter (-3dB),2900,2900,
Data Channel Number,1,2,
ISO Channel Code,????????????????,????????????????,
Channel Description,ACC,Pressure,
Channel Location,NONE,NONE,
Sensor S/N,AC_64B-2000_A282153,PT_XTEL-190S-25D,
Software Filter (SAE Class),AdHoc(0),AdHoc(0),
Software Filter (-3dB),0,0,
Engineering Unit,g ,psi ,
User Comment,,,
Number of Pre-Zero Data Pts,5001,5001,
Number of Post-Zero Data Pts,25001,25001,
Data Zero (CNTS),-38,0,
Scale Factor (EU/CNT),-0.10130542099808,-0.00095384767677509,
Scale Factor (mV/CNT),-0.007659618742764,-0.00190769915934652,
Data Starts Here,,,,,
Time,Chan 0:AC_64B-2000_A282153,Chan 1:PT_XTEL-190S-25D,
-0.483300,1.823498,0.425416
-0.483200,1.722192,0.428278
-0.483100,1.316970,0.424462
-0.483000,1.620887,0.424462
-0.482900,1.418276,0.422555
-0.482800,1.519581,0.423508
-0.482700,1.519581,0.420647
-0.482600,1.722192,0.426370
-0.482500,1.722192,0.424462
-0.482400,1.924803,0.426370
-0.482300,1.620887,0.426370
-0.482200,1.823498,0.423508
-0.482100,1.620887,0.425416
-0.482000,1.620887,0.428278
-0.481900,1.722192,0.425416
-0.481800,1.316970,0.421601
-0.481700,1.620887,0.428278
-0.481600,1.114360,0.424462
-0.481500,1.722192,0.426370
-0.481400,1.722192,0.427324
-0.481300,1.823498,0.426370
-0.481200,1.823498,0.423508
-0.481100,1.620887,0.421601
-0.481000,1.823498,0.425416
-0.480900,2.127414,0.424462
-0.480800,1.823498,0.424462
-0.480700,1.519581,0.421601
-0.480600,1.519581,0.425416
-0.480500,1.519581,0.428278
-0.480400,1.620887,0.424462
-0.480300,1.418276,0.421601
-0.480200,1.722192,0.423508
-0.480100,1.722192,0.426370
-0.480000,1.316970,0.424462
-0.479900,1.519581,0.428278
-0.479800,1.519581,0.422555
-0.479700,1.418276,0.425416
-0.479600,1.418276,0.424462
-0.479500,1.620887,0.423508
-0.479400,1.418276,0.424462
-0.479300,1.722192,0.425416
-0.479200,1.620887,0.428278
-0.479100,1.418276,0.426370
-0.479000,1.722192,0.426370
-0.478900,1.519581,0.428278
-0.478800,1.316970,0.429231
-0.478700,1.620887,0.425416
-0.478600,1.823498,0.421601
-0.478500,1.418276,0.421601
-0.478400,1.519581,0.424462
-0.478300,1.519581,0.427324
-0.478200,1.418276,0.427324
-0.478100,1.215665,0.425416
-0.478000,1.215665,0.427324
-0.477900,1.924803,0.426370
-0.477800,1.316970,0.424462
-0.477700,1.722192,0.429231
-0.477600,1.215665,0.427324
-0.477500,1.114360,0.428278
-0.477400,1.722192,0.423508
-0.477300,1.722192,0.425416
-0.477200,1.418276,0.423508
-0.477100,1.924803,0.424462
-0.477000,1.924803,0.426370
-0.476900,1.316970,0.424462
-0.476800,1.620887,0.426370
-0.476700,1.316970,0.424462
-0.476600,1.722192,0.425416
-0.476500,1.316970,0.426370
-0.476400,1.620887,0.427324
-0.476300,1.316970,0.423508
-0.476200,1.418276,0.425416
-0.476100,1.519581,0.421601
-0.476000,1.418276,0.424462
-0.475900,1.620887,0.425416
-0.475800,1.215665,0.430185
-0.475700,1.722192,0.422555
-0.475600,1.316970,0.423508
-0.475500,1.722192,0.426370
-0.475400,1.418276,0.424462
-0.475300,1.114360,0.427324
-0.475200,1.620887,0.429231
-0.475100,1.823498,0.424462
-0.475000,1.316970,0.425416
-0.474900,1.519581,0.424462
-0.474800,1.722192,0.425416
-0.474700,1.316970,0.427324
-0.474600,1.316970,0.428278
-0.474500,1.418276,0.426370
-0.474400,1.418276,0.427324
-0.474300,1.316970,0.425416
-0.474200,1.620887,0.426370
-0.474100,1.519581,0.429231
-0.474000,1.316970,0.424462
-0.473900,1.722192,0.427324
